dataset,model,precision,corruption,severity,ap_fp32_clean,ap_q_clean,ap_fp32_corrupt,ap_q_corrupt,q95,qc,e
voc,rtdetr-l,fp8,jpeg,1,0.7044048041,0.7014384816,0.6986778228,0.6953679071,0.0029663225,0.0033099157,0.0003435933
voc,rtdetr-l,int8-entropy,jpeg,1,0.7044048041,0.0113976184,0.6986778228,0.0102493244,0.6930071856,0.6884284984,-0.0045786872
voc,rtdetr-l,fp8,jpeg,3,0.7044048041,0.7014384816,0.6846334194,0.6808136828,0.0029663225,0.0038197366,0.0008534142
voc,rtdetr-l,int8-entropy,jpeg,3,0.7044048041,0.0113976184,0.6846334194,0.0077789787,0.6930071856,0.6768544407,-0.0161527450
voc,rtdetr-l,fp8,jpeg,5,0.7044048041,0.7014384816,0.5900666816,0.5839907360,0.0029663225,0.0060759456,0.0031096231
voc,rtdetr-l,int8-entropy,jpeg,5,0.7044048041,0.0113976184,0.5900666816,0.0045732966,0.6930071856,0.5854933850,-0.1075138007
voc,rtdetr-l,fp8,motion_blur,1,0.7044048041,0.7014384816,0.6471902365,0.6475604420,0.0029663225,-0.0003702055,-0.0033365279
voc,rtdetr-l,int8-entropy,motion_blur,1,0.7044048041,0.0113976184,0.6471902365,0.0049601628,0.6930071856,0.6422300737,-0.0507771119
voc,rtdetr-l,fp8,motion_blur,3,0.7044048041,0.7014384816,0.3830923144,0.3806659953,0.0029663225,0.0024263192,-0.0005400033
voc,rtdetr-l,int8-entropy,motion_blur,3,0.7044048041,0.0113976184,0.3830923144,0.0004930691,0.6930071856,0.3825992454,-0.3104079403
voc,rtdetr-l,fp8,motion_blur,5,0.7044048041,0.7014384816,0.1492618842,0.1468717470,0.0029663225,0.0023901372,-0.0005761853
voc,rtdetr-l,int8-entropy,motion_blur,5,0.7044048041,0.0113976184,0.1492618842,0.0001219077,0.6930071856,0.1491399765,-0.5438672091
