dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high
kitti,yolo11n,fog,5,area,1496,0.02137507477375178,0.03102731834504363,0.01885967897132618,0.03183117853073239,0.04601385127117926,0.022784962260696817,0.04566789748828237,-0.022882935227585555,-0.0597001333344307,-0.022081427691792277,0.01841377097983642
kitti,yolo11n,gaussian_noise,1,area,1496,0.02137507477375178,0.009644434241963484,0.0011946480355254697,0.010204412418137465,0.02030087231249388,0.0036455512735568685,0.01948880946420073,-0.01584325819064386,-0.044652804964019785,-0.017271438548942253,0.013775618130141356
kitti,yolo11n,gaussian_noise,3,area,1496,0.02137507477375178,0.013940298413514574,0.0032180791046249684,0.014886712356569465,0.02820408597201087,0.0038373550400142287,0.02004951291842466,-0.016212157878410433,-0.04186329912472721,-0.017136195181096617,0.008638378064701182
kitti,yolo11n,gaussian_noise,5,area,1496,0.02137507477375178,-0.01126940415125699,-0.01901805429503802,-0.010898617401337796,-0.0012440245184691656,-0.006990896087218312,-0.011461356730240624,0.0044704606430223115,-0.018613491735572654,0.003267285165384548,0.02557428169935586
kitti,yolo11n,jpeg,1,area,1496,0.02137507477375178,0.0016576956484761762,-0.004395280782463165,0.0023291909341231487,0.008841061725432616,0.003977755510463921,-0.0005386678996823768,0.0045164234101462974,-0.01763364405226571,0.003631950376240367,0.020943061479099325
kitti,yolo11n,jpeg,3,area,1496,0.02137507477375178,-0.0008705954171598362,-0.008106389833056555,-0.0009655161750998231,0.0062276930393228664,0.00012828129642472597,0.0011890445036143449,-0.001060763207189619,-0.02551826188938239,-0.002062303098531393,0.01820679130286496
kitti,yolo11n,jpeg,5,area,1496,0.02137507477375178,0.00416953032435774,-0.005657220433711349,0.0045017004339680255,0.01482603453837894,-0.004868710316019487,0.008637937629045855,-0.013506647945065342,-0.045714569087565354,-0.0129823673285831,0.011985592889478258
kitti,yolo11n,motion_blur,1,area,1496,0.02137507477375178,-0.007293286005626953,-0.01665345798080413,-0.006582678753212445,0.005369239043359256,0.003917552856842255,-0.005418790560564601,0.009336343417406856,-0.02227743053627265,0.008889485812450165,0.036779481447421186
kitti,yolo11n,motion_blur,3,area,1496,0.02137507477375178,-0.027072076630890285,-0.0385246341501381,-0.026572424334695754,-0.012619319439918142,-0.020024196319842147,-0.015370087326462056,-0.0046541089933800905,-0.036672928010755806,-0.005204238976237535,0.027444788769351754
kitti,yolo11n,motion_blur,5,area,1496,0.02137507477375178,-0.01698720223966499,-0.026866241619405783,-0.016619628921661356,-0.004557699990988346,-0.013045831899085758,0.0034177585001505806,-0.01646359039923634,-0.04202325113451563,-0.016433662235525143,0.009817140059591077
kitti,yolo11x,fog,1,area,1496,0.014363278419793013,-0.0023716203946466674,-0.010012774496869579,-0.0027662996693166853,0.004484526612371038,0.001876456789297043,-0.00400482728792162,0.0058812840772186625,-0.014911652278551554,0.005795522923187801,0.025677559250836278
kitti,yolo11x,fog,3,area,1496,0.014363278419793013,-0.0052694663503690675,-0.014581279526083003,-0.005490333929927704,0.002619079629548022,0.0008961485784959033,-0.004010926974463258,0.004907075552959161,-0.011336806859846492,0.005595194878666693,0.023863318736237153
kitti,yolo11x,fog,5,area,1496,0.014363278419793013,-0.004302955885812643,-0.010956866977375062,-0.004283171911878103,0.0028516550138030705,-0.0096544112414792,-0.004692630332889136,-0.004961780908590063,-0.02726636691995124,-0.003915452315433998,0.018798248755621916
kitti,yolo11x,gaussian_noise,1,area,1496,0.014363278419793013,-0.010265252573991912,-0.017517447641815145,-0.010608909427529067,-0.0039044608807742866,-0.022293250698310563,-0.006329695232405008,-0.015963555465905555,-0.03860644371656126,-0.014817225799408917,0.008358663795579105
kitti,yolo11x,gaussian_noise,3,area,1496,0.014363278419793013,-0.02489973884415303,-0.033501471174577864,-0.025606099249160047,-0.018823559911853062,-0.048430388786059375,-0.010512307286693001,-0.037918081499366374,-0.056226589320914996,-0.03688398334603302,-0.018220227126360407
kitti,yolo11x,gaussian_noise,5,area,1496,0.014363278419793013,-0.024334833674326428,-0.03137623699307869,-0.024172430280962443,-0.01772087889304869,-0.043519913396401044,-0.007569691796193934,-0.03595022160020711,-0.05060096188016059,-0.034791569899266184,-0.019127167957496218
kitti,yolo11x,jpeg,1,area,1496,0.014363278419793013,0.0004382981254540397,-0.004894383318608778,0.00024883662100882997,0.005765281859265868,-0.013225774376430022,0.003803427962448813,-0.017029202338878835,-0.035238485906417906,-0.01770717700793828,-0.0007251573973795628
kitti,yolo11x,jpeg,3,area,1496,0.014363278419793013,-0.00568562106699988,-0.011068528982104763,-0.0055175742668232,0.00019413259967741077,-0.010419647779153052,-0.0031141283818522103,-0.007305519397300841,-0.022067269678544423,-0.0075783249639146955,0.005836492672410009
kitti,yolo11x,jpeg,5,area,1496,0.014363278419793013,-0.007713035273565372,-0.01407642637230291,-0.007751713346198008,-0.0013553038108641005,-0.022356033335923287,-0.005972941176668134,-0.016383092159255153,-0.037444978298401675,-0.015211294316776813,0.007965598264693036
kitti,yolo11x,motion_blur,1,area,1496,0.014363278419793013,0.00743670225894244,-0.0014420471245730785,0.007024317472612174,0.014365232078998685,0.00492954610681573,0.006570725955204693,-0.0016411798483889628,-0.01828104756098074,-0.0014931244128348897,0.016212752702552263
