dataset,model,precision,corruption,severity,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
kitti,yolo11m,fp8,fog,1,0.7330840580471837,0.6773438806351472,0.05574017741203652,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,e0806df5617fc1f112bdbadd1a2e0a5d5183f56c068892a81142fcf64a85d5cf
kitti,yolo11m,int8-entropy,fog,3,0.6934168951443126,0.5600409883496031,0.13337590679470945,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,ee4e346d0d5d32bd66b8f9a6b994d324bba4afa30a0828514e0dcee60791bf60
kitti,yolo11m,fp8,fog,3,0.7330840580471837,0.6015064481336536,0.13157760991353007,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,b4bb7d98fe9e8a6d38cf7ce5eaa84e0b89fd00629e4777045880c82921cac5d0
kitti,yolo11m,int8-entropy,fog,5,0.6934168951443126,0.4654806431174376,0.227936252026875,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,3fa4d74c3e6a25d807da2420eeccbbac4d1958a07184f30e75e5cf8df79dd40c
kitti,yolo11m,fp8,fog,5,0.7330840580471837,0.5204042136161099,0.2126798444310738,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,25e6095bf4cd2ac43b733ad9fa6ee43a710619a61c002752b7d6a0064904405b
kitti,yolo11m,int8-entropy,gaussian_noise,1,0.6934168951443126,0.5853309807791057,0.10808591436520687,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,d5dcb7483ccb95d5926277eeea529b4ea2304251241ea951bb8968b1f9285f66
kitti,yolo11m,fp8,gaussian_noise,1,0.7330840580471837,0.6516971428665272,0.08138691518065644,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,1f3b828628fa5c7b5582df04d26f1161096337f0e27d5bba082311fe701f5f8f
kitti,yolo11m,int8-entropy,gaussian_noise,3,0.6934168951443126,0.24906946248535994,0.44434743265895266,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,bca7ad337d1fcedd3fe431c3b2e41f908387b0f0490f885f566b5313e9a9b290
kitti,yolo11m,fp8,gaussian_noise,3,0.7330840580471837,0.28541849306494244,0.44766556498224125,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,503d6172931fb1cbc35122dac78331d3e0df7958ed09f91deb29ae28f721f423
kitti,yolo11m,int8-entropy,gaussian_noise,5,0.6934168951443126,0.02454921213308857,0.668867683011224,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,00f06428a9b2e4b1a95615ac5af4f6380dc8b7937721308277f9ed1c979a2740
kitti,yolo11m,fp8,gaussian_noise,5,0.7330840580471837,0.02763559442565727,0.7054484636215265,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,3327afe5c96dccf24a68853399effef41b49e16f6a614d7510d0dbb1cc63a4f9
kitti,yolo11m,int8-entropy,jpeg,1,0.6934168951443126,0.6880862943250469,0.0053306008192657295,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,864d3df3b3acf237c4799aa0e8bbf20829cb0dd20111ef007a545a5a452ceff3
kitti,yolo11m,fp8,jpeg,1,0.7330840580471837,0.7236631434807707,0.00942091456641303,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,f9a4e6079365023f29441eb48fbf517a9b4a665ffd91732eac9174e563f34f24
kitti,yolo11m,int8-entropy,jpeg,3,0.6934168951443126,0.6762636328834001,0.017153262260912516,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,e30a230d229f092ef7110ed0a2104ec04b9f656527f26a26c41e15099b157125
kitti,yolo11m,fp8,jpeg,3,0.7330840580471837,0.722143159054289,0.010940898992894632,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,811b9b673d5c00b52c9051a87ea3eb610460e9e7820adc766eb3d615bf90c3fd
kitti,yolo11m,int8-entropy,jpeg,5,0.6934168951443126,0.6584558818604759,0.03496101328383672,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,b7a0d4ad854d6910733ff7bb79a1ec49bb58142ca050622bf79bd1d7c8b968bc
kitti,yolo11m,fp8,jpeg,5,0.7330840580471837,0.696552118558879,0.03653193948830469,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,6faacb58f25a5e5626e89c90229ab792f2f00268a74669c17cd67b06d78d4a6f
kitti,yolo11m,int8-entropy,motion_blur,1,0.6934168951443126,0.6749871482050466,0.018429746939266023,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,3eb86b04717e930d1e49678c9982a8637db4d0c4656d5d9783f32b327d0922f1
kitti,yolo11m,fp8,motion_blur,1,0.7330840580471837,0.7107570345751308,0.022327023472052843,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,bf314fd9ecfc1b2737298909c3028ef04dfe0983db9786ea29699eaee3d693b4
kitti,yolo11m,int8-entropy,motion_blur,3,0.6934168951443126,0.3359226480503013,0.3574942470940113,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,67402cbfc2bdcd560ebfafa449859d4cc4e80b386b2b6a93db97aa8b553dbd08
kitti,yolo11m,fp8,motion_blur,3,0.7330840580471837,0.3419329504680613,0.39115110757912236,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,826a15ff0fa17214a80ea0155aed9dbf3b19a91a9b98077365847bc779b8210a
kitti,yolo11m,int8-entropy,motion_blur,5,0.6934168951443126,0.09014598131761474,0.6032709138266978,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,c70b76b0743feaa26504944ebdd4b9450154600d25a5e16cd184aacbe424256b
kitti,yolo11m,fp8,motion_blur,5,0.7330840580471837,0.0870024042350909,0.6460816538120928,978b16d811f2842922bd7d54363ca6355792ee38ad98533035fec0d48f69e1a2,a139cb31a0cec91f23476db5a3b6d2df5e9c018901a2c59a3da06f5520c85887
kitti,yolo11n,int8-entropy,fog,1,0.6168760538744196,0.5647621962679278,0.05211385760649179,57e9dabffe274fdb743f42bd58d25ff5d4d542f59b65015ad13dd9d12514539e,34fde9b7d4a4a91c28398e8cc576d55775999b5ab7b9201137746de22bbf5cfc
kitti,yolo11n,fp8,fog,1,0.6382511286481714,0.582147018154208,0.056104110493963355,01f4adce4cb7e9d3bad65a806da496ce310d7443c0209712a32b3ada2030a596,c043f4f7d368946b5030d0fcc0cbea16257da2a885b8810fa8ccdd4c5042c893
kitti,yolo11n,int8-entropy,fog,3,0.6168760538744196,0.44463637441639836,0.1722396794580212,57e9dabffe274fdb743f42bd58d25ff5d4d542f59b65015ad13dd9d12514539e,4aab9066fdd7d940de8f7c266a416d4dcf010f80c51af4442e7aea3e1d8b6178
kitti,yolo11n,fp8,fog,3,0.6382511286481714,0.47219955716725204,0.1660515714809193,01f4adce4cb7e9d3bad65a806da496ce310d7443c0209712a32b3ada2030a596,c92ba1f3d3108455bd40625b15a5c078f5850334f536ba8c57cf43fa0ea542ba
kitti,yolo11n,int8-entropy,fog,5,0.6168760538744196,0.2819616654106526,0.334914388463767,57e9dabffe274fdb743f42bd58d25ff5d4d542f59b65015ad13dd9d12514539e,3857986a7a7932b5e32fbf69367d99215ef9e90fcbf0f892aa25761919c01527
kitti,yolo11n,fp8,fog,5,0.6382511286481714,0.334364058529448,0.30388707011872335,01f4adce4cb7e9d3bad65a806da496ce310d7443c0209712a32b3ada2030a596,fc520023348b9d3ed5954288518721a974b92778e03162910c7afd28c0905cb7
